idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-38757 EC 0 0 1 0 0 0 0 0 0 1 5.24533678576493 NonS
1-38836 RRab 0 0 0 0 0 0 0 1 0 1 0.0321923736995043 OverS
1-38917 CC 1 0 0 0 0 0 0 0 0 1 7.710013106787 NonS
1-39190 EC 0 0 1 0 0 0 0 0 0 1 1.3645959554297 NonS
1-39217 RRab 0 0 0 0 0 0 0 1 0 1 0.0362365554884264 NonS
1-39364 CC 1 0 0 0 0 0 0 0 0 1 24.3036266998683 NonS
1-39407 RRab 0 0 0 0 0 0 0 1 0 1 0.0323034273721245 NonS
1-39594 EA 0 1 0 0 0 0 0 0 0 1 2.04350040389155 NonS
1-39705 EC 0 0 1 0 0 0 0 0 0 1 3.54895842752235 NonS
1-39753 RRab 0 0 0 0 0 0 0 1 0 1 0.0342573726670699 NonS
1-39892 CC 1 0 0 0 0 0 0 0 0 1 7.01358531478493 NonS
1-39939 RRab 0 0 0 0 0 0 0 1 0 1 0.0336361750720834 NonS
1-40119 CC 1 0 0 0 0 0 0 0 0 1 1.01909905975079 NonS
1-40221 RRab 0 0 0 0 0 0 0 1 0 1 0.0321894790402356 NonS
1-40234 EC 0 0 1 0 0 0 0 0 0 1 6.37904111699665 NonS
1-40280 RRab 0 0 0 0 0 0 0 1 0 1 0.103241733037027 Sig
1-40503 RRab 0 0 0 0 0 0 0 1 0 1 0.99947241503883 NonS
1-40549 EC 0 0 1 0 0 0 0 0 0 1 1.1881104636693 NonS
1-40556 EC 0 0 1 0 0 0 0 0 0 1 1.09100216007766 NonS
1-40703 EC 0 0 1 0 0 0 0 0 0 1 1.01174852557433 NonS
1-40765 RRab 0 0 0 0 0 0 0 1 0 1 0.0631245222802887 NonS
1-40823 EC 0 0 1 0 0 0 0 0 0 1 5.15434091375271 NonS
1-41360 EC 0 0 1 0 0 0 0 0 0 1 2.03925637397693 NonS
1-41435 RRab 0 0 0 0 0 0 0 1 0 1 0.0422830009973924 NonS
1-41442 EC 0 0 1 0 0 0 0 0 0 1 1.60967531814736 NonS
1-41959 RRab 0 0 0 0 0 0 0 1 0 1 0.0270977354523122 NonS
1-42122 EA 0 1 0 0 0 0 0 0 0 1 2.76203078500672 NonS
