idEstrella Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum periodos flag
45-51133 EC 0 0 1 0 0 0 0 0 0 1 7.51823938240355 NonS
45-60629 RRab 0 0 0 0 0 0 0 1 0 1 0.0230744069834072 NonS
45-77414 CC 1 0 0 0 0 0 0 0 0 1 2.66896330561828 NonS
45-90233 CC 1 0 0 0 0 0 0 0 0 1 2.82755941787189 NonS
45-94215 EC 0 0 1 0 0 0 0 0 0 1 2.36254154915601 NonS
45-102450 CC 1 0 0 0 0 0 0 0 0 1 1.54844917520048 NonS
45-103677 CC 1 0 0 0 0 0 0 0 0 1 2.70619522692025 NonS
45-149726 EC 0 0 1 0 0 0 0 0 0 1 1.66999979304898 NonS
45-170019 CC 1 0 0 0 0 0 0 0 0 1 1.57182718175203 NonS
45-183955 CC 1 0 0 0 0 0 0 0 0 1 1.20105619855116 NonS
45-192763 EC 0 0 1 0 0 0 0 0 0 1 11.0653315945184 NonS
45-196840 EC 0 0 1 0 0 0 0 0 0 1 62.2424902191657 NonS
45-202638 EC 0 0 1 0 0 0 0 0 0 1 10.6701411804284 NonS
45-206716 EC 0 0 1 0 0 0 0 0 0 1 5.87789624442459 NonS
45-211935 RRab 0 0 0 0 0 0 0 1 0 1 0.0399172223904137 NonS
45-245639 EC 0 0 1 0 0 0 0 0 0 1 11.0653315945184 NonS
45-258829 CC 1 0 0 0 0 0 0 0 0 1 1.05944664202835 NonS
45-260321 CC 1 0 0 0 0 0 0 0 0 1 1.3173013802998 NonS
45-265731 CC 1 0 0 0 0 0 0 0 0 1 8.63479633098253 NonS
45-268283 EC 0 0 1 0 0 0 0 0 0 1 1.53843436175075 NonS
45-269299 CC 1 0 0 0 0 0 0 0 0 1 2.93481289834966 NonS
45-271600 CC 1 0 0 0 0 0 0 0 0 1 1.114790869597 NonS
45-277092 CC 1 0 0 0 0 0 0 0 0 1 3.61699701031472 NonS
45-281342 CC 1 0 0 0 0 0 0 0 0 1 2.62073643028066 NonS
45-291913 CC 1 0 0 0 0 0 0 0 0 1 1.96013062594812 NonS
45-304560 RRab 0 0 0 0 0 0 0 1 0 1 0.0940574087180442 NonS
45-308790 EC 0 0 1 0 0 0 0 0 0 1 1.09839688622057 NonS
45-313520 CC 1 0 0 0 0 0 0 0 0 1 19.3970576066012 NonS
45-318354 CC 1 0 0 0 0 0 0 0 0 1 1.96039339272963 NonS
45-323876 CC 1 0 0 0 0 0 0 0 0 1 5.02514445766869 NonS
45-328592 CC 1 0 0 0 0 0 0 0 0 1 1.95985289464626 NonS
45-344740 CC 1 0 0 0 0 0 0 0 0 1 6.22424902191657 NonS
45-345559 CC 1 0 0 0 0 0 0 0 0 1 1.45596468348926 NonS
45-346669 CC 1 0 0 0 0 0 0 0 0 1 1.32313531023913 NonS
45-353323 CC 1 0 0 0 0 0 0 0 0 1 1.41059467918789 NonS
45-359102 LPV 0 0 0 1 0 0 0 0 0 1 164.015542039986 NonS
45-361373 CC 1 0 0 0 0 0 0 0 0 1 1.37918944371204 NonS
45-387907 CC 1 0 0 0 0 0 0 0 0 1 1.22444243054097 NonS
45-391010 CC 1 0 0 0 0 0 0 0 0 1 1.93970576066012 NonS
45-404121 CC 1 0 0 0 0 0 0 0 0 1 4.08503897077434 NonS
45-418052 EC 0 0 1 0 0 0 0 0 0 1 2.08795022676008 NonS
45-450660 CC 1 0 0 0 0 0 0 0 0 1 2.62073643028066 NonS
45-456660 EC 0 0 1 0 0 0 0 0 0 1 1.06473254829649 NonS
45-460634 EC 0 0 1 0 0 0 0 0 0 1 1.41460205043558 NonS
45-461707 CC 1 0 0 0 0 0 0 0 0 1 1.09277232279442 NonS
45-464683 CC 1 0 0 0 0 0 0 0 0 1 3.63059415756585 NonS
45-480433 RRab 0 0 0 0 0 0 0 1 0 1 0.0378644050335331 NonS
45-495782 RRab 0 0 0 0 0 0 0 1 0 1 0.0291689978756096 NonS
45-504227 RRab 0 0 0 0 0 0 0 1 0 1 0.0269317693491903 NonS
45-511587 CC 1 0 0 0 0 0 0 0 0 1 1.01275916288812 NonS
45-521809 CC 1 0 0 0 0 0 0 0 0 1 1.42540053937021 NonS
45-526424 LPV 0 0 0 1 0 0 0 0 0 1 140.341712656431 NonS
45-559112 EC 0 0 1 0 0 0 0 0 0 1 8.58438490111141 NonS
45-572534 CC 1 0 0 0 0 0 0 0 0 1 1.21840814111816 NonS
45-596248 CC 1 0 0 0 0 0 0 0 0 1 5.77293381148844 NonS
45-598602 CC 1 0 0 0 0 0 0 0 0 1 1.31498218772885 NonS
45-606198 RRab 0 0 0 0 0 0 0 1 0 1 0.0203566586252309 NonS
45-626646 CC 1 0 0 0 0 0 0 0 0 1 1.27528320884952 NonS
45-628233 CC 1 0 0 0 0 0 0 0 0 1 8.39224587224706 NonS
45-629113 CC 1 0 0 0 0 0 0 0 0 1 1.27528320884952 NonS
45-637837 CC 1 0 0 0 0 0 0 0 0 1 11.4909212712306 NonS
45-657249 CC 1 0 0 0 0 0 0 0 0 1 2.6675352951071 NonS
45-659961 CC 1 0 0 0 0 0 0 0 0 1 1.0302205277655 NonS
45-671096 EC 0 0 1 0 0 0 0 0 0 1 1.22746077671321 NonS
45-688396 EC 0 0 1 0 0 0 0 0 0 1 1.23865652177444 NonS
45-688952 EC 0 0 1 0 0 0 0 0 0 1 6.75936545366506 NonS
45-688971 CC 1 0 0 0 0 0 0 0 0 1 1.12741114359244 NonS
45-688980 EC 0 0 1 0 0 0 0 0 0 1 1.0468253435599 NonS
45-689007 EC 0 0 1 0 0 0 0 0 0 1 2.44888486108193 NonS
45-689053 EC 0 0 1 0 0 0 0 0 0 1 2.49385603549245 NonS
45-689096 EC 0 0 1 0 0 0 0 0 0 1 5.11582111390403 NonS
45-689156 EC 0 0 1 0 0 0 0 0 0 1 1.84422193241973 NonS
45-689157 EC 0 0 1 0 0 0 0 0 0 1 4.02646836997299 NonS
45-689181 CC 1 0 0 0 0 0 0 0 0 1 6.43887829853439 NonS
45-689191 CC 1 0 0 0 0 0 0 0 0 1 3.26161520799122 NonS
45-689248 EC 0 0 1 0 0 0 0 0 0 1 1.15710283908596 NonS
45-689276 CC 1 0 0 0 0 0 0 0 0 1 6.75936545366506 NonS
45-689280 CC 1 0 0 0 0 0 0 0 0 1 3.45791612328699 NonS
45-689278 RRab 0 0 0 0 0 0 0 1 0 1 0.521949603515017 NonS
45-689279 EC 0 0 1 0 0 0 0 0 0 1 1.39478969678803 NonS
45-689272 CC 1 0 0 0 0 0 0 0 0 1 8.53447568657007 NonS
45-689311 EC 0 0 1 0 0 0 0 0 0 1 2.92905836325486 NonS
45-689298 CC 1 0 0 0 0 0 0 0 0 1 1.03809573680332 NonS
45-689320 CC 1 0 0 0 0 0 0 0 0 1 1.52898645369496 NonS
45-689333 EC 0 0 1 0 0 0 0 0 0 1 5.22314603237754 NonS
45-689420 RRab 0 0 0 0 0 0 0 1 0 1 0.050903692675662 NonS
45-689428 EC 0 0 1 0 0 0 0 0 0 1 2.92905836325486 NonS
45-689504 EC 0 0 1 0 0 0 0 0 0 1 1.28114902680959 NonS
45-689549 EC 0 0 1 0 0 0 0 0 0 1 5.22314603237754 NonS
45-689552 CC 1 0 0 0 0 0 0 0 0 1 5.11582111390403 NonS
45-689551 EC 0 0 1 0 0 0 0 0 0 1 2.92999963690629 NonS
45-689544 CC 1 0 0 0 0 0 0 0 0 1 1.40133186234519 NonS
45-689564 EC 0 0 1 0 0 0 0 0 0 1 149.381976525998 NonS
45-689562 CC 1 0 0 0 0 0 0 0 0 1 1.20916788969526 NonS
45-689573 EC 0 0 1 0 0 0 0 0 0 1 3.31959947835551 NonS
45-689576 CC 1 0 0 0 0 0 0 0 0 1 1.17623603563778 NonS
45-689600 EC 0 0 1 0 0 0 0 0 0 1 3.1581813219027 NonS
45-689590 CC 1 0 0 0 0 0 0 0 0 1 1.08326306400288 NonS
